"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
99398 278 275 516.71302286849 31222 767134 "1" 0.40544892605771 0.216565281756701
99636 2167 489 988.189740570996 118915 1393912 "1" 0.0253349047941058 0.00082302180781475
99812 3363 491 781.26139284629 559430 27721548 "1" 0.049479029852634 0.0043769908584266
99882 7 4 404.615384615385 13 1 "1" 0.30952380952381 0.0285714285714286
100031 2400 490 705.590515739286 513651 27645933 "1" 0.0892126927886619 0.0120141163384382
100139 2043 491 418.952823774752 305938 11507392 "1" 0.0733346660894586 0.00810888327455523
100555 4 3 407.125 8 1 "1" 0.666666666666667 0.25
100669 3018 411 440.211866118931 296980 8865533 "1" 0.0326161471124639 0.00193700266519213
100695 360 265 222.465492325118 51206 1728753 "1" 0.396208604147323 0.224183797326528
101087 620 326 525.706928702011 54700 1329632 "1" 0.142529574235239 0.0336365848759428
101329 661 417 395.876732652283 47182 976226 "1" 0.108151102553523 0.020373742405703
101357 3038 491 632.407259170841 353539 10214083 "1" 0.0383181706939842 0.00218784375872996
101791 3813 491 300.280850668391 505767 23876023 "1" 0.034796117771285 0.00258615525241778
102047 502 487 325.712903398376 149542 8279516 "1" 0.59459566921933 0.395043347567813
102191 858 435 428.312767540775 146473 5130666 "1" 0.199200060927015 0.0489083621642319
102485 555 483 813.629948178094 147428 9402720 "1" 0.479487429667935 0.331800376766789
102886 495 479 125.707499279555 90222 2955392 "1" 0.368960863697706 0.147091398335126
102967 260 202 706.503892965814 22348 519829 "1" 0.331868131868132 0.179522520220195
103225 19 17 286.28 125 124 "1" 0.365497076023392 0.12796697626419
